N,Data_Structure,Time_Insert,Time_Search,Time_Max,Time_Min,Time_Pred,Time_Succ,Time_Delete
1000,Unsorted_Array,0.000000,0.000000,0.000000,0.000000,0.007000,0.000000,0.000000
1000,Sorted_Array,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008000
1000,SLL_Unsorted,0.000000,0.000000,0.000000,0.000000,0.009000,0.003000,0.000000
1000,SLL_Sorted,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1000,DLL_Unsorted,0.000000,0.000000,0.000000,0.000000,0.013000,0.000000,0.000000
1000,DLL_Sorted,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2000,Unsorted_Array,0.000000,0.017000,0.007000,0.008000,0.011000,0.018000,0.000000
2000,Sorted_Array,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2000,SLL_Unsorted,0.000000,0.015000,0.005000,0.007000,0.009000,0.024000,0.000000
2000,SLL_Sorted,0.000000,0.000000,0.000000,0.000000,0.016000,0.000000,0.002000
2000,DLL_Unsorted,0.000000,0.002000,0.012000,0.006000,0.019000,0.016000,0.000000
2000,DLL_Sorted,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4000,Unsorted_Array,0.000000,0.040000,0.017000,0.048000,0.054000,0.091000,0.000000
4000,Sorted_Array,0.008000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017000
4000,SLL_Unsorted,0.000000,0.033000,0.027000,0.037000,0.069000,0.066000,0.008000
4000,SLL_Sorted,0.013000,0.000000,0.027000,0.000000,0.032000,0.000000,0.016000
4000,DLL_Unsorted,0.000000,0.039000,0.032000,0.032000,0.086000,0.114000,0.000000
4000,DLL_Sorted,0.015000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8000,Unsorted_Array,0.000000,0.145000,0.166000,0.143000,0.344000,0.298000,0.000000
8000,Sorted_Array,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065000
8000,SLL_Unsorted,0.000000,0.158000,0.120000,0.120000,0.287000,0.266000,0.061000
8000,SLL_Sorted,0.045000,0.000000,0.186000,0.000000,0.116000,0.000000,0.116000
8000,DLL_Unsorted,0.000000,0.262000,0.149000,0.139000,0.361000,0.355000,0.001000
8000,DLL_Sorted,0.071000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000
10000,Unsorted_Array,0.000000,0.244000,0.283000,0.209000,0.388000,0.394000,0.000000
10000,Sorted_Array,0.063000,0.000000,0.000000,0.000000,0.000000,0.000000,0.120000
10000,SLL_Unsorted,0.000000,0.230000,0.194000,0.172000,0.486000,0.440000,0.088000
10000,SLL_Sorted,0.072000,0.000000,0.317000,0.000000,0.204000,0.000000,0.190000
10000,DLL_Unsorted,0.002000,0.241000,0.200000,0.207000,0.483000,0.467000,0.000000
10000,DLL_Sorted,0.083000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
